instance,n,M,obj,bound,gap,status,time_sec
5part,5,2,19.1778,19.1778,0.000000,OPTIMAL,0.08
5part,5,3,19.1778,19.1778,0.000000,OPTIMAL,0.04
5part,5,4,19.1778,19.1778,0.000000,OPTIMAL,0.04
10part,10,2,45.6258,45.6258,0.000000,OPTIMAL,39.98
10part,10,3,22.9518,22.9518,0.000000,OPTIMAL,1.43
10part,10,4,20.1025,20.1025,0.000000,OPTIMAL,0.31
10part_2,10,2,30.6499,30.6499,0.000000,OPTIMAL,0.67
10part_2,10,3,22.1265,22.1265,0.000000,OPTIMAL,0.38
10part_2,10,4,20.1778,20.1778,0.000000,OPTIMAL,0.34
10part_3,10,2,53.3490,53.3490,0.000000,OPTIMAL,3.46
10part_3,10,3,36.5751,36.5751,0.000000,OPTIMAL,1.12
10part_3,10,4,30.2789,30.2789,0.000000,OPTIMAL,0.58
10parts_4,10,2,30.3721,30.3721,0.000000,OPTIMAL,0.95
10parts_4,10,3,18.7518,18.7518,0.000000,OPTIMAL,0.40
10parts_4,10,4,18.1438,18.1438,0.000000,OPTIMAL,0.40
11part,11,2,39.8949,39.8949,0.000000,OPTIMAL,9.22
11part,11,3,19.9494,19.9494,0.000000,OPTIMAL,0.55
11part,11,4,17.4074,17.4074,0.000000,OPTIMAL,0.38
12part,12,2,51.5220,51.5220,0.000000,OPTIMAL,130.94
12part,12,3,29.3208,29.3208,0.000000,OPTIMAL,5.89
12part,12,4,19.8654,19.8654,0.000000,OPTIMAL,0.89
13part,13,2,59.4675,21.4640,0.639063,TIME_LIMIT,1806.32
13part,13,3,30.1529,30.1529,0.000000,OPTIMAL,10.36
13part,13,4,19.8654,19.8654,0.000000,OPTIMAL,1.37
14part,14,2,37.5674,37.5674,0.000000,OPTIMAL,1022.94
14part,14,3,14.9074,14.9074,0.000000,OPTIMAL,0.81
14part,14,4,14.9074,14.9074,0.000000,OPTIMAL,0.68
15part,15,2,34.2540,14.9914,0.562346,TIME_LIMIT,1806.35
15part,15,3,13.1913,13.1913,0.000000,OPTIMAL,1.02
15part,15,4,12.9914,12.9914,0.000000,OPTIMAL,0.85
15part_2-S,15,2,39.9881,39.9881,0.000000,OPTIMAL,26.66
15part_2-S,15,3,22.1024,22.1024,0.000000,OPTIMAL,3.21
15part_2-S,15,4,20.2246,20.2246,0.000000,OPTIMAL,1.15
20part_3-S,20,2,18.5095,18.5095,0.000000,OPTIMAL,474.07
20part_3-S,20,3,4.1827,4.1827,0.000000,OPTIMAL,1.84
20part_3-S,20,4,4.1827,4.1827,0.000000,OPTIMAL,1.29
20part_4-S,20,2,35.8090,3.4605,0.903362,TIME_LIMIT,1805.17
20part_4-S,20,3,4.6303,4.6303,0.000000,OPTIMAL,3.53
20part_4-S,20,4,3.2210,3.2210,0.000000,OPTIMAL,2.38
