instance,n,M,obj,bound,gap,status,time_sec,nvars,nconstr
5part,5,2,19.1778,19.1778,0.000000,OPTIMAL,0.01,100,159
5part,5,3,19.1778,19.1778,0.000000,OPTIMAL,0.01,145,234
5part,5,4,19.1778,19.1778,0.000000,OPTIMAL,0.02,190,309
10part,10,2,45.6258,45.6258,0.000000,OPTIMAL,4.41,300,519
10part,10,3,22.9517,22.9517,0.000000,OPTIMAL,1.20,440,769
10part,10,4,20.1024,20.1024,0.000000,OPTIMAL,0.25,580,1019
10part_2,10,2,30.6499,30.6499,0.000000,OPTIMAL,0.70,300,519
10part_2,10,3,22.1265,22.1265,0.000000,OPTIMAL,0.45,440,769
10part_2,10,4,20.1778,20.1778,0.000000,OPTIMAL,0.12,580,1019
10part_3,10,2,53.3489,53.3489,0.000000,OPTIMAL,1.49,300,519
10part_3,10,3,36.5752,36.5752,0.000000,OPTIMAL,2.00,440,769
10part_3,10,4,30.2789,30.2789,0.000000,OPTIMAL,0.25,580,1019
10parts_4,10,2,30.3721,30.3721,0.000000,OPTIMAL,0.59,300,519
10parts_4,10,3,18.7518,18.7518,0.000000,OPTIMAL,0.31,440,769
10parts_4,10,4,18.1438,18.1438,0.000000,OPTIMAL,0.20,580,1019
11part,11,2,39.8947,39.8947,0.000000,OPTIMAL,2.53,352,615
11part,11,3,19.9492,19.9492,0.000000,OPTIMAL,0.37,517,912
11part,11,4,17.4074,17.4074,0.000000,OPTIMAL,0.30,682,1209
12part,12,2,51.5220,51.5220,0.000000,OPTIMAL,19.99,408,719
12part,12,3,29.3207,29.3207,0.000000,OPTIMAL,6.17,600,1067
12part,12,4,19.8653,19.8653,0.000000,OPTIMAL,1.36,792,1415
13part,13,2,59.4675,59.4675,0.000000,OPTIMAL,72.11,468,831
13part,13,3,30.1529,30.1529,0.000000,OPTIMAL,5.33,689,1234
13part,13,4,19.8653,19.8653,0.000000,OPTIMAL,0.91,910,1637
14part,14,2,37.5674,37.5674,0.000000,OPTIMAL,108.06,532,951
14part,14,3,14.9074,14.9074,0.000000,OPTIMAL,1.38,784,1413
14part,14,4,14.9074,14.9074,0.000000,OPTIMAL,0.49,1036,1875
15part,15,2,34.2539,34.2539,0.000000,OPTIMAL,475.16,600,1079
15part,15,3,13.1913,13.1913,0.000000,OPTIMAL,1.21,885,1604
15part,15,4,12.9913,12.9913,0.000000,OPTIMAL,0.78,1170,2129
15part_2-S,15,2,39.9880,39.9880,0.000000,OPTIMAL,15.18,600,1079
15part_2-S,15,3,22.1023,22.1023,0.000000,OPTIMAL,4.82,885,1604
15part_2-S,15,4,20.2246,20.2246,0.000000,OPTIMAL,0.68,1170,2129
20part_3-S,20,2,18.5094,18.5094,0.000000,OPTIMAL,544.41,1000,1839
20part_3-S,20,3,4.1827,4.1827,0.000000,OPTIMAL,0.72,1480,2739
20part_3-S,20,4,4.1827,4.1827,0.000000,OPTIMAL,0.75,1960,3639
20part_4-S,20,2,35.8084,23.7831,0.335825,TIME_LIMIT,1800.05,1000,1839
20part_4-S,20,3,4.6302,4.6302,0.000000,OPTIMAL,3.90,1480,2739
20part_4-S,20,4,3.2210,3.2210,0.000000,OPTIMAL,1.49,1960,3639
