instance,n,M,TT,optimal,time_sec,nodes,oracle_calls,oracle_hits
5part,5,2,19.1778,1,0.0002266,1,4,4
5part,5,3,19.1778,1,0.0002199,1,7,5
5part,5,4,19.1778,1,0.0002296,1,6,10
10part,10,2,45.6258,1,0.0959652,619,340,0
10part,10,3,22.9517,1,0.017384,1950,108,38
10part,10,4,20.1024,1,0.0048768,597,38,18
10part_2,10,2,30.6499,1,0.0467664,539,229,0
10part_2,10,3,22.1265,1,0.0081736,748,62,24
10part_2,10,4,20.1778,1,0.0073005,809,41,17
10part_3,10,2,53.3489,1,0.0681815,575,295,0
10part_3,10,3,36.5752,1,0.0159756,1951,84,21
10part_3,10,4,30.2789,1,0.0010882,1,12,4
10parts_4,10,2,30.3721,1,0.0406939,510,205,0
10parts_4,10,3,18.7518,1,0.0081443,868,79,35
10parts_4,10,4,18.1438,1,0.0009017,1,12,4
11part,11,2,39.8947,1,0.181129,1208,480,0
11part,11,3,19.9492,1,0.0214366,2147,104,19
11part,11,4,17.4074,1,0.001521,1,15,1
12part,12,2,51.522,1,0.696735,2351,1124,0
12part,12,3,29.3207,1,0.12392,5368,302,103
12part,12,4,19.8653,1,0.0358322,1817,180,142
13part,13,2,59.4675,1,2.97498,5480,2519,0
13part,13,3,30.1529,1,2.72523,59750,614,246
13part,13,4,19.8653,1,7.50457,101167,161,95
14part,14,2,37.5674,1,6.90347,8396,3678,0
14part,14,3,14.9074,1,1.03232,39606,740,436
14part,14,4,14.9074,1,0.0019507,1,16,0
15part,15,2,34.2539,1,27.6381,19053,7115,0
15part,15,3,13.1913,1,7.73545,89647,1450,668
15part,15,4,12.9913,1,2.40805,49558,143,41
15part_2-S,15,2,39.988,1,18.2255,17383,6049,0
15part_2-S,15,3,22.1023,1,45.8193,210467,2052,733
15part_2-S,15,4,20.2246,1,19.5752,162271,206,92
20part_3-S,20,2,22.9392,0,1800.01,133732,28896,0
20part_3-S,20,3,6.82394,0,1800.18,552125,12,0
20part_3-S,20,4,8.00549,0,1800.38,435234,16,0
20part_4-S,20,2,36.6489,0,1800.02,112168,16487,0
20part_4-S,20,3,20.7949,0,1800.19,462385,12,0
20part_4-S,20,4,9.59183,0,1800.24,345018,16,0
